GeoId,Geography,LEAID,Year,Iteration,DP05.2_33est,DP05.2_33moe,DP05.2_34est,DP05.2_34moe,DP05.2_34pct,DP05.2_34pctmoe,DP05.2_35est,DP05.2_35moe,DP05.2_35pct,DP05.2_35pctmoe,DP05.2_36est,DP05.2_36moe,DP05.2_36pct,DP05.2_36pctmoe,DP05.2_37est,DP05.2_37moe,DP05.2_37pct,DP05.2_37pctmoe,DP05.2_38est,DP05.2_38moe,DP05.2_38pct,DP05.2_38pctmoe,DP05.2_39est,DP05.2_39moe,DP05.2_39pct,DP05.2_39pctmoe,DP05.2_40est,DP05.2_40moe,DP05.2_40pct,DP05.2_40pctmoe,DP05.2_41est,DP05.2_41moe,DP05.2_41pct,DP05.2_41pctmoe,DP05.2_42est,DP05.2_42moe,DP05.2_42pct,DP05.2_42pctmoe,DP05.2_43est,DP05.2_43moe,DP05.2_43pct,DP05.2_43pctmoe,DP05.2_44est,DP05.2_44moe,DP05.2_44pct,DP05.2_44pctmoe,DP05.2_45est,DP05.2_45moe,DP05.2_45pct,DP05.2_45pctmoe,DP05.2_46est,DP05.2_46moe,DP05.2_46pct,DP05.2_46pctmoe,DP05.2_47est,DP05.2_47moe,DP05.2_47pct,DP05.2_47pctmoe,DP05.2_48est,DP05.2_48moe,DP05.2_48pct,DP05.2_48pctmoe,DP05.2_49est,DP05.2_49moe,DP05.2_49pct,DP05.2_49pctmoe,DP05.2_50est,DP05.2_50moe,DP05.2_50pct,DP05.2_50pctmoe,DP05.2_51est,DP05.2_51moe,DP05.2_51pct,DP05.2_51pctmoe,DP05.2_52est,DP05.2_52moe,DP05.2_52pct,DP05.2_52pctmoe,DP05.2_53est,DP05.2_53moe,DP05.2_53pct,DP05.2_53pctmoe,DP05.2_54est,DP05.2_54moe,DP05.2_54pct,DP05.2_54pctmoe,DP05.2_55est,DP05.2_55moe,DP05.2_55pct,DP05.2_55pctmoe,DP05.2_56est,DP05.2_56moe,DP05.2_56pct,DP05.2_56pctmoe,DP05.2_57est,DP05.2_57moe,DP05.2_57pct,DP05.2_57pctmoe,DP05.2_58est,DP05.2_58moe,DP05.2_58pct,DP05.2_58pctmoe,DP05.2_59est,DP05.2_59moe,DP05.2_59pct,DP05.2_59pctmoe,DP05.2_60est,DP05.2_60moe,DP05.2_60pct,DP05.2_60pctmoe,DP05.2_61est,DP05.2_61moe,DP05.2_61pct,DP05.2_61pctmoe,DP05.2_62est,DP05.2_62moe,DP05.2_62pct,DP05.2_62pctmoe,DP05.2_63est,DP05.2_63moe,DP05.2_64est,DP05.2_64moe,DP05.2_64pct,DP05.2_64pctmoe,DP05.2_65est,DP05.2_65moe,DP05.2_65pct,DP05.2_65pctmoe,DP05.2_66est,DP05.2_66moe,DP05.2_66pct,DP05.2_66pctmoe,DP05.2_67est,DP05.2_67moe,DP05.2_67pct,DP05.2_67pctmoe,DP05.2_68est,DP05.2_68moe,DP05.2_68pct,DP05.2_68pctmoe,DP05.2_69est,DP05.2_69moe,DP05.2_69pct,DP05.2_69pctmoe
97000US3602370,"Addison Central School District, NY",3602370,2014-2018,1,6899,285,6812,293,98.7,0.6,87,39,1.3,0.6,6812,293,98.7,0.6,6734,293,97.6,0.9,22,18,0.3,0.3,12,15,0.2,0.2,2,4,0,0.1,0,17,0,0.5,0,17,0,0.5,0,17,0,0.5,4,6,0.1,0.1,0,17,0,0.5,0,17,0,0.5,0,17,0,0.5,0,17,0,0.5,4,6,0.1,0.1,0,17,0,0.5,0,17,0,0.5,0,17,0,0.5,0,17,0,0.5,0,17,0,0.5,0,17,0,0.5,0,17,0,0.5,40,37,0.6,0.5,87,39,1.3,0.6,13,9,0.2,0.1,64,36,0.9,0.5,8,13,0.1,0.2,0,17,0,0.5,6899,285,6821,285,98.9,0.7,35,20,0.5,0.3,76,38,1.1,0.6,12,15,0.2,0.2,0,17,0,0.5,42,38,0.6,0.5
97000US3605040,"Adirondack Central School District, NY",3605040,2014-2018,1,8429,350,8311,330,98.6,0.7,118,62,1.4,0.7,8311,330,98.6,0.7,8182,316,97.1,1.6,29,26,0.3,0.3,8,13,0.1,0.2,0,17,0,0.4,0,17,0,0.4,0,17,0,0.4,0,17,0,0.4,73,79,0.9,0.9,21,34,0.2,0.4,0,17,0,0.4,0,17,0,0.4,0,17,0,0.4,0,17,0,0.4,0,17,0,0.4,52,59,0.6,0.7,7,11,0.1,0.1,0,17,0,0.4,0,17,0,0.4,0,17,0,0.4,7,11,0.1,0.1,12,16,0.1,0.2,118,62,1.4,0.7,49,43,0.6,0.5,22,18,0.3,0.2,7,11,0.1,0.1,0,17,0,0.4,8429,350,8300,327,98.5,1.1,83,56,1,0.7,35,23,0.4,0.3,80,88,0.9,1,15,22,0.2,0.3,39,52,0.5,0.6
97000US3602400,"Afton Central School District, NY",3602400,2014-2018,1,3712,299,3682,299,99.2,0.5,30,20,0.8,0.5,3682,299,99.2,0.5,3607,301,97.2,1.4,51,36,1.4,1,17,16,0.5,0.5,0,12,0,0.9,0,12,0,0.9,0,12,0,0.9,0,12,0,0.9,7,14,0.2,0.4,0,12,0,0.9,7,14,0.2,0.4,0,12,0,0.9,0,12,0,0.9,0,12,0,0.9,0,12,0,0.9,0,12,0,0.9,0,12,0,0.9,0,12,0,0.9,0,12,0,0.9,0,12,0,0.9,0,12,0,0.9,0,12,0,0.9,30,20,0.8,0.5,9,11,0.2,0.3,18,20,0.5,0.5,0,12,0,0.9,0,12,0,0.9,3712,299,3637,301,98,1.2,60,38,1.6,1,35,27,0.9,0.7,10,15,0.3,0.4,0,12,0,0.9,3,5,0.1,0.1
97000US3602430,"Akron Central School District, NY",3602430,2014-2018,1,9498,617,9342,618,98.4,1.1,156,102,1.6,1.1,9342,618,98.4,1.1,8662,604,91.2,1.8,105,85,1.1,0.9,382,111,4,1.2,0,17,0,0.3,20,23,0.2,0.2,0,17,0,0.3,0,17,0,0.3,111,80,1.2,0.8,0,17,0,0.3,40,27,0.4,0.3,28,33,0.3,0.3,14,23,0.1,0.2,0,17,0,0.3,0,17,0,0.3,29,40,0.3,0.4,0,17,0,0.3,0,17,0,0.3,0,17,0,0.3,0,17,0,0.3,0,17,0,0.3,82,72,0.9,0.8,156,102,1.6,1.1,43,48,0.5,0.5,106,74,1.1,0.8,0,17,0,0.3,0,17,0,0.3,9498,617,8818,606,92.8,1.6,148,113,1.6,1.2,488,139,5.1,1.5,111,80,1.2,0.8,0,17,0,0.3,89,71,0.9,0.8
97000US3602460,"Albany City School District, NY",3602460,2014-2018,1,97889,68,92622,838,94.6,0.9,5267,840,5.4,0.9,92622,838,94.6,0.9,53066,1314,54.2,1.3,29258,1222,29.9,1.2,246,140,0.3,0.1,0,28,0,0.1,4,8,0,0.1,0,28,0,0.1,0,28,0,0.1,6810,766,7,0.8,992,349,1,0.4,1647,523,1.7,0.5,1030,420,1.1,0.4,165,79,0.2,0.1,425,233,0.4,0.2,114,83,0.1,0.1,2437,723,2.5,0.7,23,33,0,0.1,16,31,0,0.1,0,28,0,0.1,0,28,0,0.1,7,13,0,0.1,3219,894,3.3,0.9,5267,840,5.4,0.9,2663,514,2.7,0.5,167,71,0.2,0.1,582,260,0.6,0.3,463,243,0.5,0.2,97889,68,57224,1512,58.5,1.5,33359,1072,34.1,1.1,1267,397,1.3,0.4,7835,779,8,0.8,170,97,0.2,0.1,3986,997,4.1,1
97000US3602520,"Albion Central School District, NY",3602520,2014-2018,1,14690,276,14381,319,97.9,1.2,309,178,2.1,1.2,14381,319,97.9,1.2,12144,409,82.7,2.3,1813,359,12.3,2.5,35,30,0.2,0.2,0,19,0,0.2,0,19,0,0.2,0,19,0,0.2,0,19,0,0.2,49,32,0.3,0.2,0,19,0,0.2,0,19,0,0.2,10,15,0.1,0.1,22,22,0.1,0.1,0,19,0,0.2,4,6,0,0.1,13,19,0.1,0.1,0,19,0,0.2,0,19,0,0.2,0,19,0,0.2,0,19,0,0.2,0,19,0,0.2,340,226,2.3,1.5,309,178,2.1,1.2,182,184,1.2,1.3,92,61,0.6,0.4,0,19,0,0.2,12,17,0.1,0.1,14690,276,12441,471,84.7,2.8,2016,299,13.7,2.1,148,71,1,0.5,49,32,0.3,0.2,0,19,0,0.2,354,226,2.4,1.5
97000US3602550,"Alden Central School District, NY",3602550,2014-2018,1,12904,659,12774,653,99,0.7,130,86,1,0.7,12774,653,99,0.7,11382,761,88.2,2.8,1156,307,9,2.5,79,50,0.6,0.4,0,19,0,0.3,0,19,0,0.3,0,19,0,0.3,0,19,0,0.3,64,89,0.5,0.7,63,90,0.5,0.7,0,19,0,0.3,0,19,0,0.3,0,19,0,0.3,0,19,0,0.3,1,3,0,0.1,0,19,0,0.3,12,20,0.1,0.2,0,19,0,0.3,0,19,0,0.3,12,20,0.1,0.2,0,19,0,0.3,81,51,0.6,0.4,130,86,1,0.7,55,74,0.4,0.6,10,15,0.1,0.1,0,19,0,0.3,10,18,0.1,0.1,12904,659,11493,762,89.1,2.7,1267,323,9.8,2.6,123,72,1,0.6,77,92,0.6,0.7,25,30,0.2,0.2,99,63,0.8,0.5
97000US3602580,"Alexander Central School District, NY",3602580,2014-2018,1,5554,376,5546,378,99.9,0.1,8,8,0.1,0.1,5546,378,99.9,0.1,5475,379,98.6,0.8,21,17,0.4,0.3,15,18,0.3,0.3,0,17,0,0.6,0,17,0,0.6,0,17,0,0.6,0,17,0,0.6,0,17,0,0.6,0,17,0,0.6,0,17,0,0.6,0,17,0,0.6,0,17,0,0.6,0,17,0,0.6,0,17,0,0.6,0,17,0,0.6,0,17,0,0.6,0,17,0,0.6,0,17,0,0.6,0,17,0,0.6,0,17,0,0.6,35,39,0.6,0.7,8,8,0.1,0.1,3,6,0.1,0.1,0,17,0,0.6,0,17,0,0.6,0,17,0,0.6,5554,376,5478,379,98.6,0.8,29,18,0.5,0.3,15,18,0.3,0.3,5,8,0.1,0.1,0,17,0,0.6,35,39,0.6,0.7
97000US3602670,"Alexandria Central School District, NY",3602670,2014-2018,1,3742,144,3705,150,99,0.9,37,35,1,0.9,3705,150,99,0.9,3630,164,97,1.7,58,43,1.5,1.2,0,12,0,0.9,0,12,0,0.9,0,12,0,0.9,0,12,0,0.9,0,12,0,0.9,8,12,0.2,0.3,0,12,0,0.9,0,12,0,0.9,8,12,0.2,0.3,0,12,0,0.9,0,12,0,0.9,0,12,0,0.9,0,12,0,0.9,0,12,0,0.9,0,12,0,0.9,0,12,0,0.9,0,12,0,0.9,0,12,0,0.9,9,15,0.2,0.4,37,35,1,0.9,0,12,0,0.9,7,7,0.2,0.2,0,12,0,0.9,0,12,0,0.9,3742,144,3666,156,98,1.2,59,43,1.6,1.2,7,7,0.2,0.2,8,12,0.2,0.3,13,23,0.3,0.6,26,38,0.7,1
97000US3602700,"Alfred-Almond Central School District, NY",3602700,2014-2018,1,7306,216,7203,215,98.6,0.6,103,47,1.4,0.6,7203,215,98.6,0.6,6441,252,88.2,2.2,333,110,4.6,1.5,21,23,0.3,0.3,0,17,0,0.4,0,17,0,0.4,0,17,0,0.4,0,17,0,0.4,261,80,3.6,1.1,90,61,1.2,0.8,92,44,1.3,0.6,46,33,0.6,0.4,18,16,0.2,0.2,8,15,0.1,0.2,7,13,0.1,0.2,0,17,0,0.4,0,17,0,0.4,0,17,0,0.4,0,17,0,0.4,0,17,0,0.4,0,17,0,0.4,147,61,2,0.8,103,47,1.4,0.6,27,27,0.4,0.4,4,5,0.1,0.1,40,31,0.5,0.4,12,17,0.2,0.2,7306,216,6518,249,89.2,2,377,119,5.2,1.6,43,32,0.6,0.4,310,90,4.2,1.2,9,13,0.1,0.2,158,66,2.2,0.9
